title,article
The government official in charge of ethics just harshly condemned Trump’s plan,"The nonpartisan director of the federal Office of Government Ethics ripped into President-elect Donald Trump’s plans for his businesses in an unusually public and blisteringly critical speech Wednesday afternoon. Walter Shaub went so far as to say that Trump’s conflicts of interest put democracy at risk, break with decades of tradition, and call into doubt whether Trump’s own patriotism stands up to history. Trump’s plan to step back from his businesses day to day is “meaningless from a conflict of interest perspective,” Shaub said in his remarks at the Brookings Institution in Washington. “Every president in modern times has taken the strong medicine of divestiture,” Shaub said. Trump’s plan “does not comport with the traditions of the presidency over the past 40 years.” The president-elect announced Wednesday morning that he would hand management of the Trump Organization over to his adult sons and the company’s chief financial officer. He promised to insulate himself from his businesses by donating the profits from foreign stays at his hotel to the federal government and limiting the information he received about his profits and losses. Shaub called the structure “perplexing.” Trump will still know where his business interests lie. He made clear that he plans to return to his company after his presidency. Ethics experts have long contended that the only real solution is a blind trust: Trump should sell his properties and allow someone else to invest the proceeds from the sale so that he doesn’t know what he owns. Trump’s lawyer said a blind trust would, essentially, be too difficult and expensive, since it would require Trump to sell large amounts of real estate. “The president is now entering a world of public service,” Shaub said. “He’s going to be asking his own appointees to make sacrifices. He’s going to be asking our men and women in uniform to risk their lives in conflicts around the world. So no, I don’t think divestiture is too high a price to pay to be president of the United States of America.” The Office of Government Ethics has hammered out hundreds, if not thousands, of divestiture agreements involving federal officials. They have had to “divest assets, break open trusts, and dissolve businesses,” Shaub said, and taking those steps can be expensive and painful. But, Shaub said, “their basic patriotism usually prevails as they agree to set aside their personal interests to serve their country’s interests.” When officials were reluctant to take the required steps, the ethics office’s demands were backed up by “the unwavering example of presidents who resolved their own conflicts of interest.” Presidents in the past didn’t just set an example for the rest of their administration, Shaub said. They helped the American system of government set an example for the world on avoiding corruption. The Office of Government Ethics is charged with ensuring there are no conflicts of interest. Its employees search through thousands of pages of financial disclosures and reach agreements with would-be Cabinet nominees, as well as lower-level officials, stating the steps they’ll take to make sure their private investments and public duties don’t conflict. It’s a relatively obscure, generally apolitical agency, and Shaub — who was a career public servant in the office before being appointed by President Obama in 2013 to his first five-year term as director — is far from a public figure. His decision to make a public speech criticizing the incoming president-elect was highly unusual. But emails between the Trump transition team and the ethics office showed that Trump has had little regard for the office’s work since he came into office. For 10 days after the election, offers of assistance and guidance on ensuring an ethical transition were rebuffed. Nor did Trump’s lawyers run their plans past Shaub. If they had, he said, he would have told them it was very possible for the president to sell his real estate assets, and that other officials in the past have done so. As for Trump’s other justification — that the president “can’t have a conflict of interest” — that’s nonsense, Shaub said. “A conflict of interest is anything that creates an incentive to put your own interest before the interests of the people you serve,” Shaub said, quoting a Supreme Court decision from 1961 that called conflicts of interest “an evil which endangers the very fabric of democratic society.” If anything, Shaub said, it’s more important for presidents to avoid conflicts of interest: “The potential for corruption only grows with the increase in power.”"
Mark Zuckerberg’s WSJ op-ed was a message to would-be regulators: Hands off our ad business,"The threat of government regulation has been looming over Facebook like a dark storm cloud for more than a year now, and it feels like it may finally be starting to rain. Last week, we learned that the FTC is considering slapping Facebook with a reported “record-setting” fine for abusing its users’ data and privacy. This week, two more things happened that make it seem like that cloud will be staying around for a while. The first was an op-ed by Facebook CEO Mark Zuckerberg that was published late on Thursday in the Wall Street Journal. Titled “The Facts About Facebook,” the op-ed laid out why Facebook sells ads (“to offer services for free”); why Facebook uses peoples’ personal data to target them with those ads (people “prefer more relevant ads”); and added a friendly reminder that “we don’t sell people’s data.” Zuckerberg also pointed out that Facebook’s free service is great for users because it helps them “stay connected to those they care about and to express themselves,” and it’s also great for small businesses. “Most couldn’t afford to buy TV ads or billboards, but now they have access to tools that only big companies could use before,” he wrote. In other words, Facebook provides an invaluable service to the world, and its advertising business is necessary to keep that going. If you’ve followed Facebook or Zuckerberg at all over the past few years, you’ve probably already heard most of this stuff. So why is Zuckerberg announcing it in a fancy WSJ opinion piece? There are a lot of people who want to regulate Facebook. And regulators, both in the United States and in Europe, probably read the Journal. That likely includes politicians who want to pass laws that would limit Facebook’s ad business, or regulators like those who work at the FTC. Zuckerberg is bringing his argument for why Facebook doesn’t need to be babysat — “we give people complete control” — to a news outlet that should reach the people who might disagree. But while Zuckerberg’s focus in his WSJ piece is on Facebook’s data and advertising business, the New York Times reminded everyone that this isn’t the only kind of regulation Facebook should be concerned about. In a story published Friday, the Times reported that Facebook is planning to combine the technology for all three of its standalone messaging apps: Facebook, Instagram, and WhatsApp. That would enable an Instagram user, for example, to send and receive messages to people using WhatsApp, something that isn’t currently possible. Setting aside the technical challenges of connecting different apps with different features — WhatsApp only requires your phone number, for example, while Instagram allows you to have an anonymous account — the move would create one giant Facebook messaging ecosystem. Each of those services has more than a billion users. There are a lot of people who already think Facebook is a monopoly. This move won’t change their opinion. “This is why there should have been far more scrutiny during Facebook’s acquisitions of Instagram and WhatsApp which now clearly seem like horizontal mergers that should have triggered antitrust scrutiny,” tweeted Rep. Ro Khanna, a Democratic congressman from California. “Imagine how different the world would be if Facebook had to compete with Instagram and WhatsApp. That would have encouraged real competition that would have promoted privacy and benefited consumers.” Could the FTC try and break up Facebook? It certainly feels possible. But as The Verge’s Casey Newton pointed out Friday in his daily newsletter, Facebook may beat them to the punch. “If the Federal Trade Commission ever planned to compel Facebook to spin out WhatsApp and Instagram — a big if, I know — you can imagine the company explaining that there was no longer such a thing as ‘WhatsApp’ or ‘Instagram,’” Newton wrote. Maybe something for Zuckerberg to explain in his next op-ed. This article originally appeared on Recode.net."
Girl Scouts Are Training the Next Generation of Female Hackers," In the past, Girl Scouts have been rewarded with badges for mastering skills like first aid, painting, and jewelry making. Now, in a partnership with security firm Palo Alto Networks, they'll be able to earn badges in cybersecurity, too. Scouts in kindergarten and first grade, known as Daisies, will be taught the basics of data privacy and online safety, while older Scouts up to grade 12 will be introduced to coding, firewalls, and how to become a ""white hat hacker"" (coder-slang for a hacker who uses her skills for good, not evil).   ""At Girl Scouts of the USA, we recognize that in our increasingly tech-driven world, future generations must possess the skills to navigate the complexities and inherent challenges of the cyber realm,"" Girl Scouts CEO Sylvia Acevedo said in a press release.   With this partnership, Girl Scouts hopes to introduce girls to computer and internet literacy and provide access to a demographic that is often left out of the burgeoning field. According to a recent study, women are grossly underrepresented in the global cybersecurity industry, making up only 11 percent of the workforce. Furthermore, the Computing Technology Industry association reports that 69 percent of women who have not pursued careers in information technology attribute their choice to not knowing what opportunities are available to them.  ""It is our hope that our collaboration will serve to cultivate our troops' budding interest in cyber security by providing access to invaluable knowledge that may otherwise not be available to girls,"" said Acevedo.   While there have been past cyber-related programs at the local level (like the Game Design badge available to LA-based Scouts), the organization's new commitment to cyber security education means that all 1.8 million Girl Scouts across the country will have access to learning these skills and, of course, earning the badges to prove it."
An Animated Masterpiece by the Unsung Co-Founder of Studio Ghibli,"Before 2016, Isao Takahata’s Only Yesterday was considered the “lost” Ghibli film. Advertise on Hyperallergic with Nectar Ads One day, Hayao Miyazaki will die, and with him so will the renowned animation studio he co-founded, Studio Ghibli. When that day eventually arrives, countless images will play out in the minds of animation fans worldwide. Totoro, up in the sky, his mouth wide open, soaring while carrying a tiny umbrella; Ran, riding a giant snow-white wolf into battle, protecting the only life she’s ever known; little Chihiro trying so diligently to clean a “stink spirit” inside the strangest and most fascinating bathhouse imaginable. I’ll be thinking of those too. I’ll also be thinking of a moment that I feel like I’m watching for the first time every time I see it. A little girl and boy stand on the edge of a street, alone together. Their cheeks, once pale and white, now resemble the inside of a grapefruit. The boy, nervous yet determined, asks whether she prefers her days sunny or cloudy. Her answer excites the boy. They trade smiles and then he runs off. Overjoyed, he tosses a baseball in the air. The girl runs in the opposite direction; with nothing to throw, she climbs an invisible set of stairs and then launches herself skyward. The scene is in Isao Takahata’s 1991 masterpiece Only Yesterday, which screened at the French Institute Alliance Française’s Animation First film festival on January 26th, handpicked by this year’s guest of honor, Kirikou and The Sorceress director Michel Ocelot. Ocelot selected the film in part because it is one of his favorite films by Takahata, but the screening also honors the life and career of Takahata, who passed away in April 2018. Only Yesterday follows Takeo, a single woman in her late 20s, living and working in Tokyo, where she has spent her entire life. Taking a vacation from her office job and Tokyo itself, she heads to northern Japan to assist her brother-in-law in harvesting safflowers. On her journey to the countryside, she thinks back to her childhood, specifically when she was 10 years old. She thinks of her friends, her family, and her struggles with both, along with the most evil of all school subjects: math. Carrying around her fifth-grade self, Takeo ponders about her current situation, and she wonders if she let that down that spunky and ambitious 10-year-old girl. Takahata shifts between the two timelines, each one with its own unique look. In the present, the animation is sharper, more detailed, more … present. When the story shifts to the past, the animation is simpler, washed out, the edges of the frame seemingly fading away. These segments are made to resemble memories, dissolving moments in time. When the film released in 1991, it was an outlier, because it told what is still an unconventional story when it comes to feature-length animation. Only Yesterday is about an adult woman making adult decisions, something much bigger and scarier than any energy ball thrown at Goku. The festival featured the English dub, produced by GKIDS and released in 2016, with Daisy Ridley as Takeo and Dev Patel as Toshino, an organic farmer who develops feelings for Takeo. Their performances are filled with warmth and charm, successfully selling the chemistry the two develop upon their first meeting. Before GKIDS obtained the US distribution rights to the Ghibli library from Disney, it was difficult to see Only Yesterday at home through legitimate means, let alone on the big screen. Before 2016, this film was considered the “lost” Ghibli film. Today, and hopefully for a long time to come, it will be seen for what it actually is, a masterpiece crafted by a master of the form."
Trump warned NATO allies U.S. would go it alone if they did not spend: sources,"BRUSSELS (Reuters) - U.S. President Donald Trump told NATO allies in a closed-door meeting on Thursday that governments needed to raise spending to 2 percent of economic output by January next year or the United States would go its own way, two people familiar with the discussions told Reuters.  The ultimatum was delivered in a session at the NATO summit, the sources said. “He said they must raise spending by January 2019 or the United States would go it alone,” one person said.  However, he did not directly threaten to withdraw formally from NATO, the people said.  Reporting by Robin Emmott and Sabine Siebold; Editing by Alissa de Carbonnel"
"Paradise, California, wildfire: why the fire threat to California is only growing","PARADISE, CALIFORNIA — Brook Jenkins moved to the town of Paradise to escape a rough neighborhood in nearby Chico and raise her three children in an idyllic small town, filled with trees. Paradise isn’t next to a forest; it’s in a forest. Trees run between houses like gargantuan picket fences. “It was peaceful up there,” Jenkins said. “It was beautiful.” Yet those elegant towering Gray pines, cottonwoods, and walnut trees that drew people to Paradise also posed an immense risk of catching on fire. Six years of drought, including the driest period in California history, collided with bark beetle infestations that started spreading in rapidly in 2010, killing off scores of the state’s iconic giants. There are now more than 129 million dead trees in California sprinkled through forests like the one in Paradise, ready to burn like matchsticks. And with more people living closer to this dry timber, the likelihood that someone, or something, will spark a fire has grown steadily higher. Residents lived uneasily for years knowing that a massive conflagration was possible. Some even recalled seeing flames inch perilously close to the town in years past. “We prepared for it, but we never thought it was going to happen,” Jenkins said. When the Camp Fire, named after Camp Creek Road where the blaze began, tore through the town on November 8, it filled the quiet streets with cacophony. The flames roared, tree trunks burst, and propane tanks exploded as the fire swiftly gained ground. By the time the fire passed, almost all of Paradise, once home to 26,000 people, was obliterated. Around Butte County, upward of 52,000 people have been forced to evacuate due to the Camp Fire. The vast blaze has already made its mark as the deadliest and most destructive wildfire in state history, having killed at least 77 people, left 993 missing, and burned through 10,360 residences and 150,000 acres. People in nearby towns saw the fire risks too, and grew concerned that they were getting worse as seasons got warmer and drier in recent years. “You have an instinct that something is not right,” said Theresa Squires, who fled with her dog Carob from Magalia, a town of 11,000 people in the path of the fire. “It doesn’t feel normal and hasn’t for a long time.” She recalled being unnerved when she first visited Magalia in 2011 and saw so many dry pine trees so close to homes. “I was just saying the day before [the Camp Fire] that this is a scary situation to be in, and lo and behold,” Squires said. It’s tempting to treat the Camp Fire as an anomaly, a one-off, worst-case scenario disaster. As Interior Secretary Ryan Zinke said on Twitter after visiting the area this week, “Every time I come to California I say this is the worst fire I’ve seen. Once again this is the absolute worst. Worse than any war zone I saw in Iraq.” The fact is, climate and forest science tells us that massive wildfires like this are likely to become more destructive as average temperatures rise and populations grow, putting people and fuel into closer contact. We can do many things to reduce these risks. However, the Camp Fire is a stark vision of a future where we do nothing. I drove to Paradise on Thursday, venturing into ever thicker and more ominous smoke that shrouded the highway. When I arrived, I was struck that there was scarcely any sound at all, not even from leaves rustling. Bits of ash flurries drifted from charred tree branches. Dust coated every surface. Pockets in the ground were still smoldering and billowing smoke. The carcasses of cars, paint scorched off and tires melted, were scattered along the streets. The homes in Paradise are now almost all flattened save for their brick chimneys stubbornly standing firm. Only a handful of people were on my street, mainly searchers in white Tyvek suits, prodding among the wreckage aided by cadaver dogs. They are combing house by burned-out house for human remains. The swift winds that at one point advanced the flames at a rate of one football field per second have now died down. Firefighters have taken advantage of the lull to cut firebreaks in dry forests and pile up soil to control the blaze. The California Department of Forestry and Fire Protection reports that the Camp Fire is 45 percent contained and expects to reach 100 percent by the end of the month. But even a week after the fire passed, the panicked early moments when the flames roared in remain vivid for Paradise residents like Jenkins. On the morning of November 8, Jenkins watched as the sky turned orange, and embers and ash fluttered around her house in Paradise. She rushed to get back to the elementary school where she had just dropped off two of her children. By the time she returned home, the Camp Fire had spread around her house. “Within 30 minutes altogether, it was surrounding us,” Jenkins said. “We didn’t have time to get anything.” She and her husband piled their three children, their relatives who lived with them, and all their dogs and cats into three cars and started heading away from the flames and toward Chico, about 20 miles away. The journey took more than three hours, the narrow highways choked with people like her fleeing the roaring fire. Trees ignited and fell along the roads. Traffic stopped. Jenkins was separated from her children, who were riding in a different car with relatives further behind. With cars at a standstill and the fire encroaching, Jenkins left her car to gather her stranded children on foot. When she returned to her car, she saw flames inching toward her back bumper. She said she’s grateful to be alive and wants all her friends and family to know she, her husband, her brother, her sister, and her mother-in-law, and her three children are safe. For now, she is now staying with her family in a motel in Red Bluff, about 40 miles northwest of Chico. But the home and the life she built in Paradise is gone. What’s next is uncertain. “I just don’t know where we’re going to go, what we’re going to do,” she said. Some of the people fleeing the flames found shelter with friends and family. Others are staying in evacuation centers in the nearby city of Chico. And others still are sleeping in their cars or camping in tent cities that have organically emerged in the miasma of the inferno. Down in Chico, the city of roses, the air smells dry, dusty, and oddly sweet. The smoke has bathed the city in a sunset glow even in the middle of the afternoon. Local children ride Razor scooters wearing N95 respirators. A makeshift bazaar has taken root on the edge of a Chico Walmart parking lot where volunteers distribute food, clothing, respirators, and toiletries to what’s become a de facto refugee camp. Dozens of people have camped out in their cars while others have pitched tents on the grass shoulder. The site emerged organically, but that’s also led to some frustration, according to Guido Barbero, a Chico resident who is coordinating volunteers at the site. Various city officials and local law enforcement have promised more formal leadership and another site to shelter evacuees. However, in the week since the Camp Fire ignited, the Walmart camp has only grown. Now they have word that they must clear out the site by Tuesday. Where the evacuees will go remains uncertain. “It’s really the lack of information” that’s hampering relief, Barbero said. At the same time, the ingredients for an unprecedented fire have been brewing for years, so better planning and coordination for a relief effort should have been in place to deal with the fallout. “This was going to happen sooner or later,” Barbero said. “This was not a surprise to us.” While the campsite has been overwhelmed by donations of clothes, food, and supplies, some of the evacuees are growing concerned about health issues. Over the din of portable generators, coughing echoes throughout the camp as the omnipresent wildfire smoke in the air exacerbates health issues like asthma. The air quality here is some of the worst in the world, earning a rating of “hazardous.” Other residents complained about theft and poor sanitation. Temperatures are also dropping as the city heads further into winter. The strip of dried grass where people have pitched their tents is prone to flooding, and rain is expected next week. Some health issues are also emerging in some of the formal evacuation sites. One shelter in Chico reported a norovirus outbreak. Meanwhile, across town at Bidwell Junior High School, Red Cross volunteers are moving cots into a gymnasium to give the 65 evacuees there more space. Katherine Grochowski, the shelter supervisor, said the site also has too many donations of food and clothing. “Cash is the best thing to give,” she said. Grochowski, who has been working in relief efforts for 19 years, said the recent spate of fires and storms across the United States “seems like one disaster after another” but added that relief organizations are getting plenty of firsthand experience, helping them get better at responding to calamities. But on the question of whether people afflicted by a disaster should relocate or rebuild, Grochowski choked up and recalled her own brush with disaster, a tornado that struck her hometown of Owensboro, Kentucky. Some people moved away, but others were adamant about restoring what they lost in the storm, an attitude she found inspiring. People all over the world have a sense of place and belonging with their homes, no matter the risks, according to Grochowski. And she couldn’t imagine moving away herself after a disaster. Chico city manager Mark Orme agreed. “The optimal solution here is to get people back home as soon as possible,” he said. Even though the climate is changing — warming up the air, drying out the trees, and increasing the severity of droughts, thereby fueling massive fires— Orme believes that it is possible to prepare for these risks. That can range from fireproof construction to strategically removing fire-prone trees. But he acknowledged that it’s hard to prepare for an unprecedented disaster like the Camp Fire, and rebuilding to mitigate the next wildfire will take towns like Paradise, Magalia, and Concow into uncharted territory with untested solutions. “You obviously never expect the largest of disasters in State of California history to happen on your doorstep,” he said. Right now, the City of Chico is trying to restore a sense of normalcy for evacuees. Chico officials even hosted a town council meeting for Paradise officials, allowing them to use the chambers to discuss the minutiae of running a city, with the added challenge that most of the city is gone. “I was amazed at the pride and passion of that community,” Orme said."
Wells Fargo to pay $575 million in settlement with U.S. states,"NEW YORK (Reuters) - Wells Fargo & Co (WFC.N) will pay $575 million to settle claims made by U.S. states, the latest settlement as the bank works to resolve lingering investigations and legal battles stemming from its sales-practices scandal and to remove a punitive asset cap.    Two years ago, Wells Fargo agreed to pay $190 million to settle federal government claims that the bank created phony customer accounts. Since then, the bank has racked up over $2 billion in penalties as other issues were discovered across most of its business lines.   Friday’s settlement resolves claims by all 50 states and the District of Columbia related to the accounts, as well as claims that the bank improperly referred and charged customers for a number of financial products like auto and life insurance.     “Instead of safeguarding its customers Wells Fargo exploited them,” California Attorney General Xavier Becerra said in a statement. “This is an incredible breach of trust that threatens not only the customer who depended on Wells Fargo, but confidence in our banking system.”   The settlement, confirmed by Wells Fargo and the offices of various state attorneys general, was first reported earlier by Reuters.  Wells Fargo has been seeking a fresh start after revelations that its employees opened potentially millions of unauthorized accounts tangled the nation’s fourth-largest bank in fierce investor and regulatory scrutiny for the past two years.  Over the summer, Wells Fargo launched a marketing campaign saying the bank had been “re-established” this year, but Wells Fargo continued to attract fresh headlines about the customer abuses of the past.  The bank has been working to resolve ongoing investigations and legal battles as it tries to gain approval from the Federal Reserve to lift its cap on assets.   This year, the bank has settled claims with the New York attorney general, a class of investors and the Office of the Comptroller of the Currency, but the bank still has a number of probes looming over its bottom line. Wells Fargo still faces probes by the U.S. Securities and Exchange Commission, the Department of Justice and the Department of Labor, according to its most recent securities filing.  (This story was refiled to delete the superfluous word “Fells” in paragraph 2)  Reporting By Imani Moise in New York and Patrick Rucker in Raleigh, North Carolina; editing by Jonathan Oatis"
"'Bendy Bone,' Today's Comic by Paige Mehrer",  Check out more of Paige Mehrer's work on her Tumblr and website.
Factbox: Investments by automakers in the U.S. and China since Trump came to power,"(Reuters) - Major automakers have announced a slew of investments in the United States since President Donald Trump took office in January 2017 and exerted pressure on the industry to create more U.S. jobs.  China is also attracting much investment, with companies keen to increase their share of the world’s largest car market and keep up with the country’s push toward electric vehicles.  Following are summaries of investments and restructuring efforts made by major automakers in the United States and China since 2017. Some did not respond to requests for information or only provided details for one country.  Toyota Motor Corp has pledged to invest almost $13 billion in the United States between 2017 and 2021 to boost manufacturing capacity and jobs. This includes $1.6 billion for a vehicle assembly plant in Alabama jointly run with Mazda Motor Corp and $238 million in manufacturing capacity in Kentucky to assemble 112,000 gasoline-electric hybrid models a year. Toyota’s Kentucky plant has also gained $1.3 billion in investment to boost its competitiveness.  FCA in January 2017 said it would invest $1 billion in truck and SUV manufacturing facilities in Michigan and Ohio, creating 2,000 U.S. jobs. It described the plan as a move to solidify the United States as its global manufacturing hub for Jeep products. In February this year, it announced additional investment of $4.5 billion in production facilities in Michigan, to produce more SUVs and trucks and create nearly 6,500 jobs.   General Motors Co in November 2018 announced a sweeping restructuring program that aims to cut production of slow-selling models and slash its North American workforce so resources can be shifted to electric and autonomous vehicles. GM put four U.S. factories and one Canadian plant on notice for potential closure. It noted in late April that it has invested $4.3 billion in U.S. manufacturing operations since 2017.    Ford Motor Co in 2017 said it would invest $2.95 billion in manufacturing facilities in Kentucky and Michigan. Those plans included $900 million for its Kentucky truck plant to secure 1,000 hourly jobs and produce the redesigned Ford Expedition and Lincoln Navigator SUVs. This year, Ford said it will invest an additional $1.2 billion in manufacturing facilities in Michigan and Illinois to expand production capacity and add new jobs.  In 2017, Hyundai Motor Group, which includes Hyundai Motor Co, Kia Motors Corp and parts suppliers, said it planned to lift U.S. investment by 50% over five years to $3.1 billion. An executive said at that time the group was considering a new U.S. factory to build high-margin, high-demand models such as a U.S.-specific sport utility vehicle and a Genesis premium vehicle.  In January this year, Volkswagen AG said it planned to invest $800 million to build what it called a new generation of electric vehicles at its Chattanooga plant in Tennessee. The first electric car from the plant is slated to roll off the production line in 2022.  Honda Motor Co said in 2017 it would invest a combined $352 million in manufacturing facilities located in Alabama and Ohio that would support production of the redesigned Accord car and create jobs. It also said it would spend $124 million on an advanced wind tunnel facility in Ohio.  Although not formally announced, the Japanese automaker has confirmed information from sources that is investing in capacity in Tianjin and Guangzhou to produce 240,000 more vehicles annually. The size of the investment is not known.  The company’s China unit did not respond to a Reuters request for information.  No major additional investment in China manufacturing capacity since the Detroit automaker announced it had earmarked $12 billion to expand production between 2014 and 2017.  Ford said in 2017 it would invest in its joint-venture manufacturing facilities in China to support production of five vehicles, including a Lincoln premium SUV and the company’s first global all-electric small SUV. The investment amount was not disclosed.  In 2018, Ford said it would invest in joint-venture manufacturing facilities in Chongqing to produce vehicles including the redesigned Escort and Focus models. It also said it would be investing to assemble the redesigned Explorer SUV but did not disclose where it will be made.  This year the U.S. automaker announced plans to produce three Lincoln models in China by 2021, instead of bringing in those models from North America.  Hit by a downturn in sales, Hyundai said in April it was suspending production at one of its five plants in China. Kia is also looking at suspending production at a China plant, a source familiar with the matter has said.  Volkswagen Group in 2018 opened three factories – in Qingdao, Foshan and Tianjin – to produce more SUVs and electric cars as well as other vehicles. The German group, which produces and sells vehicles in China through its Volkswagen, Audi and Skoda brands, also broke ground for its electric-car factory in Shanghai, which will start e-car production in 2020.  Through 2022, Volkswagen Group and its joint-venture partners will invest around 15 billion euros in e-mobility, autonomous driving and other areas. This includes R&D spending on new technologies. In June 2017, it announced a 50-50 joint venture with Anhui Jianghuai Automobile Co, its third partnership with a Chinese automaker, to design, produce and market electric cars.  Honda’s joint venture with Dongfeng Motor Group in December 2016 announced it would build a 3 billion yuan ($435 million) assembly plant in Wuhan capable of producing 120,000 vehicles a year. The plant opened in April this year.  ($1 = 6.9063 Chinese yuan)  Reporting by Norihiko Shirouzu in Beijing; Additional reporting by Hyunjoo Jin in Seoul; Editing by Edwina Gibbs"
 Teen prisoners rioted and lit British Columbia's ‘super jail’ on fire this week,"A six-hour riot that started with a fire and devolved into a rampage through a youth ""super jail"" in British Columbia this week has confirmed long-held fears over what would happen when the province closed down other prisons and consolidated the inmates — some from rival gangs — into one place. It was Tuesday evening when a group of teen boys gathered together inside the youth jail in Burnaby and lit a fire by heating up a piece of paper in the toaster. The mayhem escalated quickly from there, with the kids, who used masks to hide their identities from the security cameras, smashing windows and furniture, fashioning weapons out of table legs, and barricading doors. They destroyed the microwaves and dishwasher, and broke the sprinklers. After they ruined one room and started a flood, they rammed their way into another and continued their rampage. By 2:30 am, officers with the federal police force and 19 firefighters had arrived and the situation was contained. Somehow no one was seriously injured, although there was immense damage to the facility. An outbreak of violence of this kind in prisons is rare in Canada, and even less so in youth jails. But correctional workers and youth advocates have, for years, warned that something like this would happen in Burnaby as the BC provincial government closed down the youth jail in the capital of Victoria and started pooling inmates from all over the province to save money. Inevitably, rival gang members came under one roof. This new ""super-jail"" has become a hotbed for violence and acts of aggression. A six-hour riot that started with a fire and devolved into a rampage through a youth ""super jail"" in British Columbia this week has confirmed long-held fears over what would happen when the province closed down other prisons and consolidated the inmates — some from rival gangs — into one place. It was Tuesday evening when a group of teen boys gathered together inside the youth jail in Burnaby and lit a fire by heating up a piece of paper in the toaster. The mayhem escalated quickly from there, with the kids, who used masks to hide their identities from the security cameras, smashing windows and furniture, fashioning weapons out of table legs, and barricading doors. They destroyed the microwaves and dishwasher, and broke the sprinklers. After they ruined one room and started a flood, they rammed their way into another and continued their rampage. By 2:30 am, officers with the federal police force and 19 firefighters had arrived and the situation was contained. Somehow no one was seriously injured, although there was immense damage to the facility. An outbreak of violence of this kind in prisons is rare in Canada, and even less so in youth jails. But correctional workers and youth advocates have, for years, warned that something like this would happen in Burnaby as the BC provincial government closed down the youth jail in the capital of Victoria and started pooling inmates from all over the province to save money. Inevitably, rival gang members came under one roof. This new ""super-jail"" has become a hotbed for violence and acts of aggression. Mary Ellen Turpel-Lafond, BC's representative for children and youth, told VICE News she has been calling on the province to immediately reopen other youth jails to ease tensions at the Burnaby Youth Custody Center. It's believed that the group of young men involved in the riots were associated with the rival gangs from Surrey and Prince George, but further details haven't been made public. Turpel-Lafond says the incident has all the hallmarks of gang-related violence. ""My eye will be strongly fixed on what's going on with the young people and whether this is a pattern, and what's going to be done to prevent this from happening again,"" she said. The Burnaby jail was already grappling with rampant violence. Over the last five years, assaults among the young inmates has doubled, even though fewer people were being held there. Last November, a teen in the jail launched a lawsuit against the province alleging that he was kept in solitary confinement, and accuses the guards of negligence and false imprisonment. Burnaby Youth Custody Services Centre (Photo via Government of BC) Turpel-Lafond added that, before the other jails were shuttered, it was possible to send young offenders to facilities where they would least likely experience violence. This is of great concern when many of the inmates are affiliated with one of the province's gangs. ""If we knew a young person or their parent ran a street-level gang here, or if they were going to be a target by virtue of who they were, care was taken to decide on where they should be located. Now, we don't have those options,"" she said. Dean Purdy, the head of correctional and sheriff services for the BC Government Employees Union, said in an interview that there has also been a spike in violence against the guards who work there. Right before the riot broke out, he says the staff there could sense something was about to happen, so they hid in the secure office. Riot at Burnaby youth detention centre causes extensive damage — CBC British Columbia (@cbcnewsbc)July 21, 2016 ""There have been several assaults on correctional officers over the last few months, and all the anecdotal info from our staff is that tensions are very high inside. It's getting very difficult to manage the inmates,"" Purdy said. ""And there's very little repercussions when inmates exhibit poor behavior."" Staff Sergeant Lindsey Houghton, with the provincial anti-gang unit, told The Province on Wednesday that the force has been looking into gang activity in youth jails for many years. ""This is nothing new and people should not be surprised at it,"" said Houghton, who added that the notorious Red Scorpions gang — responsible for one of the province's worst gang-related murders in 2007 — was founded in the Burnaby jail. However, the head of programs for the Burnaby youth jail put out a statement on Thursday that said the closure of the Victoria jail was not to blame for the riot and that the impetus for the incident was ""a room search earlier in the day, which resulted in a loss of privileges."" Purdy added that the inmates responsible for the violence have been separated from the general prison population, and an internal investigation is pending. Earlier this year, BC's premier announced $23 million in new funding to fight the gang wars in Surrey, which is plagued with frequent shootings and kids as young as 12 joining the drug trade. Follow Rachel Browne on Twitter: @rp_browne"
Video of Deontay Wilder Squaring Off with Contender in Hotel Lobby,"Deontay Wilder was still ready to swing hours after defending his belt -- getting in the middle of a hotel brawl involving heavyweight contender Dominic Breazeale ... and TMZ Sports got video of the melee. The chaos erupted in the lobby of the Westin in Birmingham, Alabama ... just across the street from the arena, where hours earlier Wilder scored a 5th round KO of Gerald Washington. In the video, you can see Wilder give someone a huge shove. Breazeale doesn't appear to be the one who received the blow. The champ mentioned in a post-fight news conference he had beef with Breazeale -- who had fought on the undercard -- and it appears it all came to a head when their entourages met in the lobby. Cops reportedly broke up the fight after it spilled into the hotel parking lot. Neither Wilder or Breazeale was arrested, but Dominic made it clear on social media ... this feud is just getting started."
